first_name,second_name,team_name,player_pos,minutes_played,goals_scored,goals_conceded,assists,clean_sheets,penalties_missed,penalties_saved,num_saves,own_goals,yellow_cards,red_cards,points_per_game,total_bonus_pts,total_points,bps_system,form,in_dreamteam,selected_by_percent,creativity,ict_index,influence,threat,status,chance_of_playing_next_round,chance_of_playing_this_round,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,dreamteam_count,ep_next,ep_this,event_points,news,news_added,current_cost,web_name,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value_form,value_season,player_code,player_id,special,Mins_Per_90,Goals_Per_90,Assists_Per_90
Henri,Lansbury,Aston Villa,Midfielder,189,0,6,0,0,0,0,0,0,0,0,1.2,0,11,34,['form'],FALSE,0.4,27.2,5.5,13.4,13,available,100,100,0,0,-0.1,0.1,0,0,0,0,N/A,2019-11-08T18:00:15.526636Z,4.4,Lansbury,68901,0,65313,0,0,2.5,40564,35,FALSE,2.1,0,0
Jose Ignacio,Peleteiro Romallo,Aston Villa,Midfielder,310,0,4,1,2,0,0,0,0,0,0,1.9,0,15,41,['form'],FALSE,0.1,56.1,14.9,42.6,51,available,100,100,0,0,-0.2,0.2,0,0,0,0,N/A,2019-10-17T13:00:14.384046Z,5.8,Jota,14240,0,27170,0,0,2.6,89274,36,FALSE,3.4444,0,0.2903
Tom,Heaton,Aston Villa,Goalkeeper,1794,0,35,0,4,0,0,67,1,0,0,3,3,59,346,['form'],FALSE,2.5,0.3,50.7,507.4,0,injured,0,0,0,0,-0.2,0.2,1,0,0,0,Knee injury - Unknown return date,2020-01-01T15:00:18.235936Z,4.3,Heaton,293883,0,542329,0,0,13.7,21205,94,FALSE,19.9333,0,0
Daniel,Drinkwater,Aston Villa,Midfielder,317,0,11,0,0,0,0,0,0,1,0,1.2,0,6,32,['form'],FALSE,0.6,21.2,4.7,18.6,8,available,100,100,0,0,-0.1,0.1,0,0,0,0,N/A,2020-03-09T22:30:22.759516Z,4.4,Drinkwater,23959,0,137549,0,0,1.4,61603,120,FALSE,3.5222,0,0
Matt,Targett,Aston Villa,Defender,1688,1,35,3,3,0,0,0,0,3,0,3,10,60,341,['form'],FALSE,0.8,386.9,92.6,417,121,available,100,100,0,0,-0.1,0.1,1,0,0,0,N/A,2019-12-28T17:00:19.505846Z,4.4,Targett,156868,0,186095,0,0,13.6,169359,309,FALSE,18.7556,0.0533,0.16
Wesley,Moraes,Aston Villa,Striker,1782,5,31,1,6,1,0,0,0,3,0,3.2,7,67,180,['form'],FALSE,0.8,169.8,108.3,296.2,632,injured,0,0,0,0,-0.6,0.6,1,0,0,0,Knee injury - Unknown return date,2020-01-01T15:00:18.798443Z,5.4,Wesley,403278,0,436010,0,0,12.4,213345,428,FALSE,19.8,0.2525,0.0505
Jed,Steer,Aston Villa,Goalkeeper,7,0,0,0,0,0,0,0,0,0,0,1,0,1,3,['form'],FALSE,0.1,0,0,0,0,available,100,0,0,0,-0.2,0.2,0,0,0,0,N/A,2019-11-10T16:00:17.790777Z,4.3,Steer,1213,0,6795,0,0,0.2,79852,429,FALSE,0.0778,0,0
Tyrone,Mings,Aston Villa,Defender,2002,2,42,1,3,0,0,0,0,5,0,2.4,5,56,378,['form'],FALSE,2.5,73.6,77.1,588.6,108,available,100,100,0,0,-0.1,0.1,0,0,0,0,N/A,2020-02-16T16:00:24.633178Z,4.4,Mings,496353,0,479894,0,0,12.7,149484,445,FALSE,22.2444,0.0899,0.045
Ezri,Konsa Ngoyo,Aston Villa,Defender,1198,0,29,2,2,0,0,0,0,1,0,2,1,30,198,['form'],FALSE,0.1,58.5,43.3,259.4,113,available,100,100,0,0,-0.2,0.2,0,0,0,0,N/A,2020-02-01T17:30:19.744514Z,4.3,Konsa,6693,0,7709,0,0,7,199798,452,FALSE,13.3111,0,0.1503
Bjorn,Engels,Aston Villa,Defender,1446,1,32,0,3,0,0,0,0,1,0,2.5,4,42,252,['form'],FALSE,0.4,31.9,44.5,329.6,81,available,100,100,0,0,-0.2,0.2,1,0,0,0,N/A,2020-01-02T12:30:17.002224Z,4.3,Engels,97845,0,90154,0,0,9.8,108156,455,FALSE,16.0667,0.0622,0
