minutes_played,goals_scored,goals_conceded,assists,clean_sheets,penalties_missed,penalties_saved,num_saves,own_goals,yellow_cards,red_cards,points_per_game,total_bonus_pts,total_points,bps_system,selected_by_percent,creativity,ict_index,influence,threat,chance_of_playing_next_round,chance_of_playing_this_round,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,dreamteam_count,ep_next,ep_this,event_points,current_cost,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value_form,value_season,player_code,player_id,Mins_Per_90,Goals_Per_90,Assists_Per_90
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.1,0.1,0,0,0,0,4.4,403,0,331,0,0,0,207300,574,0,0,0
1071,1,15,0,2,0,0,0,0,1,0,2.4,1,36,187,0.9,29.4,37.9,254,96,100,100,0,0,-0.2,0.2,0,0,0,0,4.8,50974,0,176295,0,0,7.5,61933,37,11.9,0.084,0
1703,0,25,1,6,0,0,0,0,5,0,2.6,3,60,293,0.6,335,82.8,317.6,173,100,100,0,0,-0.2,0.2,1,0,0,0,4.3,97022,0,108520,0,0,14,86153,38,18.9222,0,0.0528
541,0,12,0,1,0,0,0,0,1,0,1.8,3,18,102,0.1,58.6,26.4,122.6,82,100,100,0,0,-0.2,0.2,0,0,0,0,4.3,7626,0,12655,0,0,4.2,209362,39,6.0111,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,-0.2,0.2,0,0,0,0,4.3,1299,0,5100,0,0,0,52484,40,0,0,0
57,0,3,0,0,0,0,0,0,0,0,0.8,0,3,15,0.1,27.9,5,16,6,0,0,0,0,-0.3,0.3,0,0,0,0,4.2,2366,0,8306,0,0,0.7,42748,41,0.6333,0,0
2430,2,36,3,6,0,0,0,0,9,0,3.3,11,90,510,12.3,147.9,113.3,612.8,372,100,100,0,0,0.2,-0.2,3,0,0,0,4.7,1416152,0,1103412,0,0,19.1,83299,42,27,0.0741,0.1111
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.2,0.2,0,0,0,0,4.3,432,0,1315,0,0,0,178173,43,0,0,0
701,1,10,0,2,0,0,0,0,0,0,1.5,0,29,54,0.7,46.2,30.6,58,205,100,100,0,0,-0.6,0.6,0,0,0,0,5.4,52658,0,225062,0,0,5.4,20529,44,7.7889,0.1284,0
85,0,1,0,1,0,0,0,0,0,0,1.5,0,3,5,0.1,1.3,3.3,3.2,30,0,0,0,0,-0.3,0.3,0,0,0,0,5.2,6761,0,23780,0,0,0.6,106757,45,0.9444,0,0
71,1,2,0,0,0,0,0,0,0,1,1.7,1,5,20,0.3,11.3,7.6,45,21,0,0,0,0,-0.3,0.3,0,0,0,0,4.7,159835,0,196731,0,0,1.1,93284,46,0.7889,1.2676,0
2610,0,40,0,6,0,0,92,0,0,0,3.5,12,102,577,13.9,0,79.2,791.6,0,0,0,0,0,0.2,-0.2,0,0,0,0,4.7,1136337,0,1017790,0,0,21.7,131897,47,29,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.5,0,0,0,0,0,0,0,0,-0.1,0.1,2,0,0,0,3.9,667332,0,853443,0,0,0,50093,48,0,0,0
1485,2,25,5,3,0,0,0,1,2,0,3,7,69,298,0.5,804,144.5,339.6,305,0,0,0,0,-0.3,0.3,0,0,0,0,6.2,112370,0,136833,0,0,11.1,60307,49,16.5,0.1212,0.303
284,2,3,1,1,0,0,0,0,0,0,3.2,2,26,86,0.1,60.5,25.7,90.2,106,100,100,0,0,-0.2,0.2,0,0,0,0,5.8,12390,0,14575,0,0,4.5,165210,50,3.1556,0.6338,0.3169
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.1,0.1,0,0,0,0,5.4,203,0,283,0,0,0,167473,51,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.2,0.2,0,0,0,0,5.3,314,0,959,0,0,0,83543,52,0,0,0
663,0,7,0,2,0,0,0,0,2,0,1.5,0,19,101,0,74.1,26.5,114,78,100,100,0,0,0,0,0,0,0,0,5,1315,0,1357,0,0,3.8,227127,53,7.3667,0,0
2340,1,36,2,5,0,0,0,1,4,0,2.5,2,64,384,0.4,379.5,108.2,461.2,243,100,100,0,0,-0.2,0.2,0,0,0,0,4.8,91558,0,94381,0,0,13.3,66242,54,26,0.0385,0.0769
880,0,12,1,4,0,0,0,0,2,0,2.3,3,30,99,0.2,200.5,62.2,156.8,264,100,100,0,0,-0.4,0.4,0,0,0,0,4.6,35213,0,58360,0,0,6.5,109345,55,9.7778,0,0.1023
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,100,100,0,0,-0.2,0.2,3,0,0,0,4.3,34710,0,31679,0,0,0,38490,56,0,0,0
1940,0,33,1,4,0,0,0,0,6,0,2,1,48,322,1.7,226.7,67,357,86,100,100,0,0,-0.1,0.1,0,0,0,0,4.4,187229,0,277612,0,0,10.9,40845,57,21.5556,0,0.0464
